"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2024/09/26","00:00","2.358","3.72","-"
"2024/09/26","00:06","2.392","3.8","-"
"2024/09/26","00:12","2.424","3.79","-"
"2024/09/26","00:18","2.455","3.61","-"
"2024/09/26","00:24","2.484","3.57","-"
"2024/09/26","00:30","2.512","3.66","-"
"2024/09/26","00:36","2.538","3.73","-"
"2024/09/26","00:42","2.563","3.82","-"
"2024/09/26","00:48","2.586","3.86","-"
"2024/09/26","00:54","2.608","3.88","-"
"2024/09/26","01:00","2.628","3.79","-"
"2024/09/26","01:06","2.646","3.7","-"
"2024/09/26","01:12","2.662","3.53","-"
"2024/09/26","01:18","2.678","3.62","-"
"2024/09/26","01:24","2.691","3.9","-"
"2024/09/26","01:30","2.703","4.01","-"
"2024/09/26","01:36","2.714","4.01","-"
"2024/09/26","01:42","2.723","4","-"
"2024/09/26","01:48","2.73","3.89","-"
"2024/09/26","01:54","2.736","3.81","-"
"2024/09/26","02:00","2.741","3.83","-"
"2024/09/26","02:06","2.745","3.79","-"
"2024/09/26","02:12","2.747","3.74","-"
"2024/09/26","02:18","2.747","3.79","-"
"2024/09/26","02:24","2.747","3.81","-"
"2024/09/26","02:30","2.745","3.94","-"
"2024/09/26","02:36","2.742","3.97","-"
"2024/09/26","02:42","2.739","4.01","-"
"2024/09/26","02:48","2.734","3.98","-"
"2024/09/26","02:54","2.728","3.96","-"
"2024/09/26","03:00","2.721","4.02","-"
"2024/09/26","03:06","2.714","4.14","-"
"2024/09/26","03:12","2.705","4.11","-"
"2024/09/26","03:18","2.696","4.02","-"
"2024/09/26","03:24","2.687","4","-"
"2024/09/26","03:30","2.677","4.01","-"
"2024/09/26","03:36","2.666","4.05","-"
"2024/09/26","03:42","2.655","4.08","-"
"2024/09/26","03:48","2.643","4.06","-"
"2024/09/26","03:54","2.631","4.08","-"
"2024/09/26","04:00","2.619","4.12","-"
"2024/09/26","04:06","2.607","4.13","-"
"2024/09/26","04:12","2.594","4.26","-"
"2024/09/26","04:18","2.581","4.38","-"
"2024/09/26","04:24","2.568","4.38","-"
"2024/09/26","04:30","2.555","4.36","-"
"2024/09/26","04:36","2.543","4.16","-"
"2024/09/26","04:42","2.53","4.14","-"
"2024/09/26","04:48","2.517","4.33","-"
"2024/09/26","04:54","2.505","4.41","-"
"2024/09/26","05:00","2.492","4.33","-"
"2024/09/26","05:06","2.48","4.15","-"
"2024/09/26","05:12","2.469","4.22","-"
"2024/09/26","05:18","2.458","4.46","-"
"2024/09/26","05:24","2.448","4.35","-"
"2024/09/26","05:30","2.438","4.22","-"
"2024/09/26","05:36","2.429","4.22","-"
"2024/09/26","05:42","2.421","4.09","-"
"2024/09/26","05:48","2.414","4.05","-"
"2024/09/26","05:54","2.408","4.2","-"
"2024/09/26","06:00","2.404","4.29","-"
"2024/09/26","06:06","2.4","4.22","-"
"2024/09/26","06:12","2.398","4.25","-"
"2024/09/26","06:18","2.398","4.26","-"
"2024/09/26","06:24","2.399","4.31","-"
"2024/09/26","06:30","2.402","4.45","-"
"2024/09/26","06:36","2.406","4.51","-"
"2024/09/26","06:42","2.412","4.36","-"
"2024/09/26","06:48","2.42","4.41","-"
"2024/09/26","06:54","2.43","4.58","-"
"2024/09/26","07:00","2.441","4.62","-"
"2024/09/26","07:06","2.454","4.54","-"
"2024/09/26","07:12","2.469","4.34","-"
"2024/09/26","07:18","2.486","4.3","-"
"2024/09/26","07:24","2.505","4.4","-"
"2024/09/26","07:30","2.525","4.43","-"
"2024/09/26","07:36","2.546","4.4","-"
"2024/09/26","07:42","2.569","4.43","-"
"2024/09/26","07:48","2.593","4.56","-"
"2024/09/26","07:54","2.619","4.6","-"
"2024/09/26","08:00","2.646","4.44","-"
"2024/09/26","08:06","2.674","4.35","-"
"2024/09/26","08:12","2.702","4.38","-"
"2024/09/26","08:18","2.732","4.38","-"
"2024/09/26","08:24","2.762","4.41","-"
"2024/09/26","08:30","2.793","4.42","-"
"2024/09/26","08:36","2.825","4.43","-"
"2024/09/26","08:42","2.857","4.46","-"
"2024/09/26","08:48","2.889","4.55","-"
"2024/09/26","08:54","2.922","4.56","-"
"2024/09/26","09:00","2.954","4.61","-"
"2024/09/26","09:06","2.987","4.76","-"
"2024/09/26","09:12","3.02","4.76","-"
"2024/09/26","09:18","3.054","4.87","-"
"2024/09/26","09:24","3.087","4.93","-"
"2024/09/26","09:30","3.119","4.89","-"
"2024/09/26","09:36","3.152","4.71","-"
"2024/09/26","09:42","3.185","4.64","-"
"2024/09/26","09:48","3.217","4.73","-"
"2024/09/26","09:54","3.249","4.86","-"
"2024/09/26","10:00","3.28","5.01","-"
"2024/09/26","10:06","3.311","5.07","-"
"2024/09/26","10:12","3.342","4.97","-"
"2024/09/26","10:18","3.372","4.93","-"
"2024/09/26","10:24","3.401","4.95","-"
"2024/09/26","10:30","3.429","4.95","-"
"2024/09/26","10:36","3.457","4.87","-"
"2024/09/26","10:42","3.484","4.84","-"
"2024/09/26","10:48","3.509","4.93","-"
"2024/09/26","10:54","3.534","5.02","-"
"2024/09/26","11:00","3.557","5.05","-"
"2024/09/26","11:06","3.579","5.1","-"
"2024/09/26","11:12","3.599","5.06","-"
"2024/09/26","11:18","3.618","5","-"
"2024/09/26","11:24","3.636","4.98","-"
"2024/09/26","11:30","3.651","4.99","-"
"2024/09/26","11:36","3.665","5.01","-"
"2024/09/26","11:42","3.677","5.08","-"
"2024/09/26","11:48","3.688","5.15","-"
"2024/09/26","11:54","3.696","5.16","-"
"2024/09/26","12:00","3.703","5.17","-"
"2024/09/26","12:06","3.707","5.24","-"
"2024/09/26","12:12","3.709","5.31","-"
"2024/09/26","12:18","3.71","5.29","-"
"2024/09/26","12:24","3.708","5.37","-"
"2024/09/26","12:30","3.705","5.29","-"
"2024/09/26","12:36","3.699","5.19","-"
"2024/09/26","12:42","3.691","5.33","-"
"2024/09/26","12:48","3.681","5.27","-"
"2024/09/26","12:54","3.67","5.33","-"
"2024/09/26","13:00","3.656","5.39","-"
"2024/09/26","13:06","3.641","5.44","-"
"2024/09/26","13:12","3.623","5.55","-"
"2024/09/26","13:18","3.604","5.5","-"
"2024/09/26","13:24","3.583","5.54","-"
"2024/09/26","13:30","3.56","5.61","-"
"2024/09/26","13:36","3.536","5.58","-"
"2024/09/26","13:42","3.51","5.61","-"
"2024/09/26","13:48","3.482","5.6","-"
"2024/09/26","13:54","3.453","5.57","-"
"2024/09/26","14:00","3.422","5.54","-"
"2024/09/26","14:06","3.39","5.54","-"
"2024/09/26","14:12","3.357","5.64","-"
"2024/09/26","14:18","3.322","5.72","-"
"2024/09/26","14:24","3.285","5.76","-"
"2024/09/26","14:30","3.248","5.59","-"
"2024/09/26","14:36","3.209","5.38","-"
"2024/09/26","14:42","3.169","5.45","-"
"2024/09/26","14:48","3.129","5.76","-"
"2024/09/26","14:54","3.087","5.85","-"
"2024/09/26","15:00","3.044","5.81","-"
"2024/09/26","15:06","3","5.86","-"
"2024/09/26","15:12","2.956","5.91","-"
"2024/09/26","15:18","2.911","5.87","-"
"2024/09/26","15:24","2.865","5.8","-"
"2024/09/26","15:30","2.818","5.78","-"
"2024/09/26","15:36","2.771","5.87","-"
"2024/09/26","15:42","2.724","5.88","-"
"2024/09/26","15:48","2.676","5.74","-"
"2024/09/26","15:54","2.628","5.73","-"
"2024/09/26","16:00","2.579","5.75","-"
"2024/09/26","16:06","2.53","5.64","-"
"2024/09/26","16:12","2.481","5.6","-"
"2024/09/26","16:18","2.431","5.63","-"
"2024/09/26","16:24","2.382","5.57","-"
"2024/09/26","16:30","2.332","5.53","-"
"2024/09/26","16:36","2.282","5.52","-"
"2024/09/26","16:42","2.232","5.47","-"
"2024/09/26","16:48","2.182","5.43","-"
"2024/09/26","16:54","2.131","5.5","-"
"2024/09/26","17:00","2.081","5.52","-"
"2024/09/26","17:06","2.031","5.42","-"
"2024/09/26","17:12","1.98","5.38","-"
"2024/09/26","17:18","1.93","5.42","-"
"2024/09/26","17:24","1.88","5.34","-"
"2024/09/26","17:30","1.83","5.32","-"
"2024/09/26","17:36","1.78","5.37","-"
"2024/09/26","17:42","1.731","5.35","-"
"2024/09/26","17:48","1.682","5.27","-"
"2024/09/26","17:54","1.633","5.22","-"
"2024/09/26","18:00","1.585","5.2","-"
"2024/09/26","18:06","1.538","5.17","-"
"2024/09/26","18:12","1.491","5.15","-"
"2024/09/26","18:18","1.446","5.09","-"
"2024/09/26","18:24","1.401","5.02","-"
"2024/09/26","18:30","1.358","5.01","-"
"2024/09/26","18:36","1.316","5.05","-"
"2024/09/26","18:42","1.275","4.98","-"
"2024/09/26","18:48","1.236","4.91","-"
"2024/09/26","18:54","1.199","4.93","-"
"2024/09/26","19:00","1.163","4.99","-"
"2024/09/26","19:06","1.13","5.02","-"
"2024/09/26","19:12","1.098","5.01","-"
"2024/09/26","19:18","1.068","4.91","-"
"2024/09/26","19:24","1.04","4.86","-"
"2024/09/26","19:30","1.015","4.86","-"
"2024/09/26","19:36","0.992","4.96","-"
"2024/09/26","19:42","0.971","4.99","-"
"2024/09/26","19:48","0.952","4.92","-"
"2024/09/26","19:54","0.935","4.84","-"
"2024/09/26","20:00","0.921","4.86","-"
"2024/09/26","20:06","0.909","4.83","-"
"2024/09/26","20:12","0.9","4.74","-"
"2024/09/26","20:18","0.892","4.79","-"
"2024/09/26","20:24","0.887","4.78","-"
"2024/09/26","20:30","0.884","4.75","-"
"2024/09/26","20:36","0.884","4.81","-"
"2024/09/26","20:42","0.885","4.73","-"
"2024/09/26","20:48","0.888","4.79","-"
"2024/09/26","20:54","0.894","4.82","-"
"2024/09/26","21:00","0.901","4.78","-"
"2024/09/26","21:06","0.911","4.76","-"
"2024/09/26","21:12","0.922","4.81","-"
"2024/09/26","21:18","0.935","4.86","-"
"2024/09/26","21:24","0.95","4.83","-"
"2024/09/26","21:30","0.967","4.85","-"
"2024/09/26","21:36","0.986","4.95","-"
"2024/09/26","21:42","1.007","5.11","-"
"2024/09/26","21:48","1.029","5.17","-"
