STATION,DATE,NAME,PRCP,SNOW,TMAX,TMIN,TAVG,AWND,WDF5,WSF5
USW00012816,5/1/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",,0,,,,,,
USW00012816,5/2/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",,0,,,,,,
USW00012816,5/3/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",,0,,,,,,
USW00012816,5/4/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",,0,,,,,,
USW00012816,5/5/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",,0,,,,,,
USW00012816,5/6/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",,0,,,,,,
USW00012816,5/7/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",,0,,,,,,
USW00012816,5/8/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",,0,,,,,,
USW00012816,5/9/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",,0,,,,,,
USW00012816,5/10/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",,0,,,,,,
USW00012816,5/11/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",,0,,,,,,
USW00012816,5/12/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",,0,,,,,,
USW00012816,5/13/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",,0,,,,,,
USW00012816,5/14/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",,0,,,,,,
USW00012816,5/15/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",,0,,,,,,
USW00012816,5/16/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",,0,,,,,,
USW00012816,5/17/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,322,178,,,,
USW00012816,5/18/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,333,167,,,,
USW00012816,5/19/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,344,150,,,,
USW00012816,5/20/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,317,200,,,,
USW00012816,5/21/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,328,183,,,,
USW00012816,5/22/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,344,178,,,,
USW00012816,5/23/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,350,167,,,,
USW00012816,5/24/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,344,217,,,,
USW00012816,5/25/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,333,178,,,,
USW00012816,5/26/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",432,0,339,167,,,,
USW00012816,5/27/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",3,0,328,167,,,,
USW00012816,5/28/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,322,144,,,,
USW00012816,5/29/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,306,156,,,,
USW00012816,5/30/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,317,183,,,,
USW00012816,5/31/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,333,172,,,,
USW00012816,6/1/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,339,178,,,,
USW00012816,6/2/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,333,194,,,,
USW00012816,6/3/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",18,0,294,183,,,,
USW00012816,6/4/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",20,0,283,183,,,,
USW00012816,6/5/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,300,206,,,,
USW00012816,6/6/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",277,0,306,183,,,,
USW00012816,6/7/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,317,189,,,,
USW00012816,6/8/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",30,0,294,200,,,,
USW00012816,6/9/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,283,172,,,,
USW00012816,6/10/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,261,128,,,,
USW00012816,6/11/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,283,111,,,,
USW00012816,6/12/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,311,111,,,,
USW00012816,6/13/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,322,144,,,,
USW00012816,6/14/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,317,156,,,,
USW00012816,6/15/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,328,167,,,,
USW00012816,6/16/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,339,178,,,,
USW00012816,6/17/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",744,0,294,206,,,,
USW00012816,6/18/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",165,0,272,200,,,,
USW00012816,6/19/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",112,0,322,183,,,,
USW00012816,6/20/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",3,0,300,222,,,,
USW00012816,6/21/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",71,0,294,200,,,,
USW00012816,6/22/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",18,0,306,211,,,,
USW00012816,6/23/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,322,200,,,,
USW00012816,6/24/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,339,194,,,,
USW00012816,6/25/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",163,0,339,194,,,,
USW00012816,6/26/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",226,0,339,211,,,,
USW00012816,6/27/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",79,0,300,211,,,,
USW00012816,6/28/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",10,0,300,217,,,,
USW00012816,6/29/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,333,194,,,,
USW00012816,6/30/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,339,206,,,,
USW00012816,7/1/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,322,217,,,,
USW00012816,7/2/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,344,217,,,,
USW00012816,7/3/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,350,222,,,,
USW00012816,7/4/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,333,222,,,,
USW00012816,7/5/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,317,228,,,,
USW00012816,7/6/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",310,0,333,222,,,,
USW00012816,7/7/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,328,222,,,,
USW00012816,7/8/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",155,0,317,228,,,,
USW00012816,7/9/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",145,0,344,211,,,,
USW00012816,7/10/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",10,0,306,211,,,,
USW00012816,7/11/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",211,0,311,217,,,,
USW00012816,7/12/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,333,217,,,,
USW00012816,7/13/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",274,0,333,217,,,,
USW00012816,7/14/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,317,222,,,,
USW00012816,7/15/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,344,222,,,,
USW00012816,7/16/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",257,0,311,211,,,,
USW00012816,7/17/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",23,0,311,211,,,,
USW00012816,7/18/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",15,0,300,211,,,,
USW00012816,7/19/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",97,0,311,233,,,,
USW00012816,7/20/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,339,222,,,,
USW00012816,7/21/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",69,0,344,228,,,,
USW00012816,7/22/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",335,0,339,222,,,,
USW00012816,7/23/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",38,0,328,222,,,,
USW00012816,7/24/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",28,0,328,222,,,,
USW00012816,7/25/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",538,0,328,211,,,,
USW00012816,7/26/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",69,0,322,206,,,,
USW00012816,7/27/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,328,228,,,,
USW00012816,7/28/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",287,0,283,228,,,,
USW00012816,7/29/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",41,0,300,233,,,,
USW00012816,7/30/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",74,0,322,233,,,,
USW00012816,7/31/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",104,0,278,233,,,,
USW00012816,8/1/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",107,0,261,228,,,,
USW00012816,8/2/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",427,0,328,222,,,,
USW00012816,8/3/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,322,217,,,,
USW00012816,8/4/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,333,211,,,,
USW00012816,8/5/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",38,0,333,217,,,,
USW00012816,8/6/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",46,0,328,211,,,,
USW00012816,8/7/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",358,0,333,211,,,,
USW00012816,8/8/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",20,0,322,211,,,,
USW00012816,8/9/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",38,0,339,222,,,,
USW00012816,8/10/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,339,217,,,,
USW00012816,8/11/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,339,222,,,,
USW00012816,8/12/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,333,228,,,,
USW00012816,8/13/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,333,211,,,,
USW00012816,8/14/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",64,0,322,217,,,,
USW00012816,8/15/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,317,217,,,,
USW00012816,8/16/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,328,228,,,,
USW00012816,8/17/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",69,0,306,217,,,,
USW00012816,8/18/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,306,194,,,,
USW00012816,8/19/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,317,172,,,,
USW00012816,8/20/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,328,194,,,,
USW00012816,8/21/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,333,206,,,,
USW00012816,8/22/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",480,0,317,222,,,,
USW00012816,8/23/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",157,0,289,217,,,,
USW00012816,8/24/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",43,0,328,211,,,,
USW00012816,8/25/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",18,0,306,211,,,,
USW00012816,8/26/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",36,0,311,217,,,,
USW00012816,8/27/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,333,211,,,,
USW00012816,8/28/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,344,206,,,,
USW00012816,8/29/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",5,0,322,228,,,,
USW00012816,8/30/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,328,217,,,,
USW00012816,8/31/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",20,0,311,217,,,,
USW00012816,9/1/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",18,0,306,206,,,,
USW00012816,9/2/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,306,217,,,,
USW00012816,9/3/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,289,211,,,,
USW00012816,9/4/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",3,0,294,200,,,,
USW00012816,9/5/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",10,0,300,206,,,,
USW00012816,9/6/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,311,211,,,,
USW00012816,9/7/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",20,0,289,211,,,,
USW00012816,9/8/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",15,0,300,228,,,,
USW00012816,9/9/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",3,0,322,228,,,,
USW00012816,9/10/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",168,0,289,239,,,,
USW00012816,9/11/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",384,0,306,233,,,,
USW00012816,9/12/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",231,0,272,217,,,,
USW00012816,9/13/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,306,189,,,,
USW00012816,9/14/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,311,172,,,,
USW00012816,9/15/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,317,200,,,,
USW00012816,9/16/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,322,200,,,,
USW00012816,9/17/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,306,206,,,,
USW00012816,9/18/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",5,0,322,211,,,,
USW00012816,9/19/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,317,200,,,,
USW00012816,9/20/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,328,200,,,,
USW00012816,9/21/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,322,200,,,,
USW00012816,9/22/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,300,222,,,,
USW00012816,9/23/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,306,211,,,,
USW00012816,9/24/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",127,0,250,222,,,,
USW00012816,9/25/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",38,0,294,228,,,,
USW00012816,9/26/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",381,0,283,228,,,,
USW00012816,9/27/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",409,0,317,222,,,,
USW00012816,9/28/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",406,0,283,217,,,,
USW00012816,9/29/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",33,0,267,217,,,,
USW00012816,9/30/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",56,0,294,211,,,,
USW00012816,10/1/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,311,189,,,,
USW00012816,10/2/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",5,0,300,183,,,,
USW00012816,10/3/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,306,189,,,,
USW00012816,10/4/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,306,172,,,,
USW00012816,10/5/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,306,172,,,,
USW00012816,10/6/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",25,0,300,183,,,,
USW00012816,10/7/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",358,0,289,217,,,,
USW00012816,10/8/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",160,0,289,217,,,,
USW00012816,10/9/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,306,206,,,,
USW00012816,10/10/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,311,183,,,,
USW00012816,10/11/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,300,172,,,,
USW00012816,10/12/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",8,0,289,172,,,,
USW00012816,10/13/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,300,189,,,,
USW00012816,10/14/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,300,183,,,,
USW00012816,10/15/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,300,167,,,,
USW00012816,10/16/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,289,172,,,,
USW00012816,10/17/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,294,161,,,,
USW00012816,10/18/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,289,150,,,,
USW00012816,10/19/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,306,183,,,,
USW00012816,10/20/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,289,194,,,,
USW00012816,10/21/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,211,144,,,,
USW00012816,10/22/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,244,122,,,,
USW00012816,10/23/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,261,89,,,,
USW00012816,10/24/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,272,100,,,,
USW00012816,10/25/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,272,100,,,,
USW00012816,10/26/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,272,117,,,,
USW00012816,10/27/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,278,156,,,,
USW00012816,10/28/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,289,144,,,,
