Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,Origin,OriginCityName,OriginState,Dest,DestCityName,DestState,DepTime,DepDelay,DepDelayMinutes,DepDel15,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,Cancelled,CancellationCode,Diverted,AirTime,Flights,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2019,1,1,4,5,2019-01-04,OO,N945SW,5657,SBP,"San Luis Obispo, CA",CA,SFO,"San Francisco, CA",CA,1353.0,-7.0,0.0,0.0,1444.0,-26.0,0.0,0.0,0.0,,0.0,37.0,1.0,190.0,,,,,
2019,1,1,4,5,2019-01-04,OO,N932SW,5658,IAH,"Houston, TX",TX,XNA,"Fayetteville, AR",AR,930.0,-5.0,0.0,0.0,1119.0,1.0,1.0,0.0,0.0,,0.0,76.0,1.0,438.0,,,,,
2019,1,1,4,5,2019-01-04,OO,N932SW,5658,SGF,"Springfield, MO",MO,IAH,"Houston, TX",TX,637.0,-6.0,0.0,0.0,838.0,-17.0,0.0,0.0,0.0,,0.0,88.0,1.0,513.0,,,,,
2019,1,1,4,5,2019-01-04,OO,N916SW,5659,ISN,"Williston, ND",ND,DEN,"Denver, CO",CO,1314.0,-21.0,0.0,0.0,1404.0,-29.0,0.0,0.0,0.0,,0.0,80.0,1.0,576.0,,,,,
2019,1,1,4,5,2019-01-04,OO,N107SY,5660,MKE,"Milwaukee, WI",WI,DEN,"Denver, CO",CO,826.0,-10.0,0.0,0.0,1009.0,-31.0,0.0,0.0,0.0,,0.0,127.0,1.0,896.0,,,,,
2019,1,1,4,5,2019-01-04,OO,N114SY,5661,SEA,"Seattle, WA",WA,SFO,"San Francisco, CA",CA,1600.0,-10.0,0.0,0.0,1814.0,-12.0,0.0,0.0,0.0,,0.0,110.0,1.0,679.0,,,,,
2019,1,1,4,5,2019-01-04,OO,N945SW,5664,SFO,"San Francisco, CA",CA,BOI,"Boise, ID",ID,1614.0,-1.0,0.0,0.0,1859.0,3.0,3.0,0.0,0.0,,0.0,72.0,1.0,522.0,,,,,
2019,1,1,4,5,2019-01-04,OO,N679SA,5665,BZN,"Bozeman, MT",MT,DEN,"Denver, CO",CO,1053.0,8.0,8.0,0.0,1226.0,-14.0,0.0,0.0,0.0,,0.0,71.0,1.0,524.0,,,,,
2019,1,1,4,5,2019-01-04,OO,N925SW,5667,SBP,"San Luis Obispo, CA",CA,SFO,"San Francisco, CA",CA,624.0,-13.0,0.0,0.0,749.0,-2.0,0.0,0.0,0.0,,0.0,37.0,1.0,190.0,,,,,
2019,1,1,4,5,2019-01-04,OO,N145SY,5668,DEN,"Denver, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,759.0,-4.0,0.0,0.0,1108.0,1.0,1.0,0.0,0.0,,0.0,95.0,1.0,641.0,,,,,
2019,1,1,4,5,2019-01-04,OO,N152SY,5669,SLC,"Salt Lake City, UT",UT,DEN,"Denver, CO",CO,1541.0,5.0,5.0,0.0,1659.0,-4.0,0.0,0.0,0.0,,0.0,58.0,1.0,391.0,,,,,
2019,1,1,4,5,2019-01-04,OO,N693BR,5670,ORD,"Chicago, IL",IL,RIC,"Richmond, VA",VA,708.0,23.0,23.0,1.0,1015.0,26.0,26.0,1.0,0.0,,0.0,97.0,1.0,642.0,13.0,0.0,3.0,0.0,10.0
2019,1,1,4,5,2019-01-04,OO,N213SY,5671,DEN,"Denver, CO",CO,COS,"Colorado Springs, CO",CO,1900.0,-5.0,0.0,0.0,1939.0,-20.0,0.0,0.0,0.0,,0.0,16.0,1.0,73.0,,,,,
2019,1,1,4,5,2019-01-04,OO,N679SA,5672,MLI,"Moline, IL",IL,DEN,"Denver, CO",CO,1639.0,-12.0,0.0,0.0,1802.0,-18.0,0.0,0.0,0.0,,0.0,126.0,1.0,752.0,,,,,
2019,1,1,4,5,2019-01-04,OO,N787SK,5674,SFO,"San Francisco, CA",CA,ASE,"Aspen, CO",CO,1039.0,-11.0,0.0,0.0,1341.0,-40.0,0.0,0.0,0.0,,0.0,102.0,1.0,848.0,,,,,
2019,1,1,4,5,2019-01-04,OO,N975SW,5675,LAX,"Los Angeles, CA",CA,SAN,"San Diego, CA",CA,612.0,-10.0,0.0,0.0,705.0,-19.0,0.0,0.0,0.0,,0.0,29.0,1.0,109.0,,,,,
2019,1,1,4,5,2019-01-04,OO,N209SY,5676,SBP,"San Luis Obispo, CA",CA,DEN,"Denver, CO",CO,519.0,-6.0,0.0,0.0,909.0,-1.0,0.0,0.0,0.0,,0.0,133.0,1.0,931.0,,,,,
2019,1,1,4,5,2019-01-04,OO,N206SY,5677,SLC,"Salt Lake City, UT",UT,ORD,"Chicago, IL",IL,815.0,-5.0,0.0,0.0,1236.0,-14.0,0.0,0.0,0.0,,0.0,165.0,1.0,1250.0,,,,,
2019,1,1,4,5,2019-01-04,OO,N937EV,5678,DEN,"Denver, CO",CO,TUS,"Tucson, AZ",AZ,1526.0,-9.0,0.0,0.0,1721.0,-21.0,0.0,0.0,0.0,,0.0,99.0,1.0,639.0,,,,,
2019,1,1,4,5,2019-01-04,OO,N423SW,5678,MAF,"Midland/Odessa, TX",TX,DEN,"Denver, CO",CO,1309.0,-9.0,0.0,0.0,1403.0,-11.0,0.0,0.0,0.0,,0.0,87.0,1.0,563.0,,,,,
2019,1,1,4,5,2019-01-04,OO,N124SY,5679,ORD,"Chicago, IL",IL,SYR,"Syracuse, NY",NY,1804.0,4.0,4.0,0.0,2058.0,6.0,6.0,0.0,0.0,,0.0,83.0,1.0,607.0,,,,,
2019,1,1,4,5,2019-01-04,OO,N652BR,5681,LAX,"Los Angeles, CA",CA,HDN,"Hayden, CO",CO,1235.0,-6.0,0.0,0.0,1535.0,-33.0,0.0,0.0,0.0,,0.0,99.0,1.0,763.0,,,,,
2019,1,1,4,5,2019-01-04,OO,N211SY,5682,SFO,"San Francisco, CA",CA,DFW,"Dallas/Fort Worth, TX",TX,833.0,3.0,3.0,0.0,1423.0,10.0,10.0,0.0,0.0,,0.0,190.0,1.0,1464.0,,,,,
2019,1,1,4,5,2019-01-04,OO,N986SW,5683,LAX,"Los Angeles, CA",CA,COS,"Colorado Springs, CO",CO,801.0,-9.0,0.0,0.0,1128.0,-17.0,0.0,0.0,0.0,,0.0,120.0,1.0,833.0,,,,,
2019,1,1,4,5,2019-01-04,OO,N202SY,5684,OKC,"Oklahoma City, OK",OK,DEN,"Denver, CO",CO,,,,,,,,,1.0,B,0.0,,1.0,495.0,,,,,
2019,1,1,4,5,2019-01-04,OO,N908SW,5685,SFO,"San Francisco, CA",CA,OTH,"North Bend/Coos Bay, OR",OR,1133.0,3.0,3.0,0.0,1317.0,-5.0,0.0,0.0,0.0,,0.0,62.0,1.0,412.0,,,,,
2019,1,1,4,5,2019-01-04,OO,N943SW,5686,OKC,"Oklahoma City, OK",OK,ORD,"Chicago, IL",IL,1821.0,0.0,0.0,0.0,2025.0,-13.0,0.0,0.0,0.0,,0.0,101.0,1.0,693.0,,,,,
